,pmid,text,sentence,subtag
77,32330343,severe,"Twenty-two ( 24 % ) had mild , 41 ( 46 % ) moderate , and 27 ( 30 % ) severe disease .",
78,32333993,severe,"hypothesis that high-altitude inhabitants ( +2,500 m above sea-level ) are less susceptible to develop severe adverse effects in acute SARS-CoV-2 virus infection .",
79,32334118,severe,"Of 127 COVID-19 patients , 16 cases ( 12.60 % ) were classified into the severe group .",
80,32335169,severe,We aimed to find risk factors for the progression of COVID-19 to help reducing the risk of critical illness and death for clinical help .,
81,32335169,severe,"Male , aged over 65 , smoking patients might face a greater risk of developing into the critical or mortal condition and the comorbidities such as hypertension , diabetes ,",
82,32335366,severe,Dapagliflozin can prevent the severe course of COVID-19 infection by preventing the lowering of cytosolic pH and reducing the viral load .,
83,32338347,severe,Infants and young children had relatively more severe illness than older children .,
84,32340095,severe,"For severe cases , the median time of showing severe manifestations was on the 12th day after onset ( P ( 25 ) -P ( 75 ) : 9th to",
85,32340095,severe,"15th days ) , and the median time of severe manifestation lasted for 8 days P ( 25 ) -P ( 75 ) : 4-14 days ) .",
86,32340095,severe,"In severe cases , 11.4 % developed to critical cases ( 10/88 ) .",
87,32340095,severe,"In severe cases , 11.4 % developed to critical cases ( 10/88 ) .",
88,32340095,severe,"The influencing factors for severe illness or worse included male ( aHR=1.87 , 95 % CI : 1.43-2.46 ) , older age ( aHR=1.67 , 95 % CI : 1.51-1.85",
89,32340095,severe,The severe cases were mainly occurred in populations at high risk .,
90,32340095,severe,Disease severity and clinical course characteristics of the patients and influencing factors of severe illness were analyzed in our study .,
91,32340095,severe,"( 12.1 % ) were severe cases , 58 ( 4.3 % ) were critical cases and 7 ( 0.5 % ) were fatal .",
92,32340095,severe,"( 12.1 % ) were severe cases , 58 ( 4.3 % ) were critical cases and 7 ( 0.5 % ) were fatal .",
93,32342479,severe,Older patients or patients with comorbidities such as obesity or diabetes mellitus were more likely to have severe condition .,
94,32343415,severe,"Here , 26 cases of COVID-19 in Jinan , China , were examined and shown to be mild or with common clinical symptoms , and no case of severe symptoms",
95,32343593,severe,", small vessel dilation and lymphocyte infiltration , as well as mesenteric nodes with severe hemorrhage and necrosis .",
96,32343745,severe,A similar sex-specific trend was observed in the relation between age and critically ill conditions .,
97,32344167,severe,No deaths or severe adverse reactions were found in both groups .,
98,32345579,severe,"Non-survivors had severe inflammatory response , and cardiac , hepatic , renal and coagulation impairment .",
99,32345594,severe,"In a study of 105 patients with cancer and 536 without , all with confirmed COVID-19 , cancer was predictive of more severe disease , with stage IV cancer ,",
100,32345594,severe,Our results showed COVID-19 patients with cancer had higher risks in all severe outcomes .,
101,32345594,severe,"Patients with hematologic cancer , lung cancer , or with metastatic cancer ( stage IV ) had the highest frequency of severe events .",
102,32345594,severe,Patients with nonmetastatic cancer experienced similar frequencies of severe conditions to those observed in patients without cancer .,
103,32345594,severe,"Patients who received surgery had higher risks of having severe events , whereas patients who underwent only radiotherapy did not demonstrate significant differences in severe events when compared with patients",
104,32345594,severe,"Patients who received surgery had higher risks of having severe events , whereas patients who underwent only radiotherapy did not demonstrate significant differences in severe events when compared with patients",
105,32345864,severe,Three patients died before surgery because of severe respiratory insufficiency and multiple-organ-failure syndrome .,
106,32346492,severe,Epidemiological data indicate that at least 20 % of COVID-19 patients have severe disease .,
107,32347747,severe,"Thus , by using the safe over-the-counter drug melatonin , we may be immediately able to prevent the development of severe disease symptoms in coronavirus patients , reduce the severity",
108,32347972,severe,"increases in severe and critical cases ( HE4 , CYFRA21-1 and CA125 : p < 0.001 ; CEA and CA153 : p < 0.01 ) .",
109,32348166,severe,"Furthermore , a lower proportion of critical patients ( 9.3 % versus 22.9 % ; P=0.061 ) and a lower death rate ( 4.7 % versus 13.3 % ; P=0.216",
110,32348495,severe,Here we report that homozygosity for the C allele of rs12252 in the interferon-induced transmembrane protein 3 ( IFITM3 ) gene is associated with more severe disease in an age,
111,32349051,severe,"Although it appears that the severity of disease is reduced in pregnant patients , some are likely to develop severe disease .",
112,32349055,severe,Previously published papers have demonstrated that increased levels of D-dimer at hospital admission correlate with a more severe disease ( 0.5 mg/L ) or occurrence of death ( 1 mg/L,
113,32352397,severe,The objective of the study was to reveal the risk factors of developing severe disease by comparing the differences in the hemocyte count and dynamic profiles in patients with severe,
114,32352535,severe,Risk of severe infection and mortality increase with advancing age and male sex .,
115,32352637,severe,"To explore the potential association of obesity and other chronic diseases with severe outcomes , such as intensive care unit ( ICU ) admission and invasive mechanical ventilation ( IMV",
116,32354360,severe,"In severe cases , thrombocytopenia , acute kidney injury , acute myocardial injury , and adult respiratory distress syndrome were observed .",
117,32354360,severe,"However , severe cases showed persistent lymphopenia , severe acute respiratory dyspnea syndrome , refractory shock , anuric acute kidney injury , coagulopathy , thrombocytopenia , and death .",
118,32354990,severe,Four patients ( 6 % ) were diagnosed with COVID-19 while they were being hospitalised for a severe flare of IBD .,
119,32356628,severe,( 24.6 % ) had severe illness .,
120,32356628,severe,None of the medications examined was associated with a substantial increase in the risk of severe illness among patients who tested positive .,
121,32356628,severe,"result on Covid-19 testing as well as the likelihood of severe illness ( defined as intensive care , mechanical ventilation , or death ) among patients who tested positive .",
122,32356908,severe,Stronger adaptive immunity in COVID-19 patients can potentially lead to longer recovery time and more severe secondary complications .,
123,32358691,severe,Males aged 50 years or older and females aged 80 years or older showed the highest risk of developing severe lung disease .,
124,32359035,severe,No moderate-to-severe adverse events attributable to TCZ were recorded .,
125,32360481,severe,Patient follow-up to February 14 presented 38.4 % severe cases and 2.7 % critical cases .,
126,32360481,severe,Patient follow-up to February 14 presented 38.4 % severe cases and 2.7 % critical cases .,
127,32360481,severe,"The initial diagnosis of the patients was mostly ordinary , and the percentage of critical patients who evolved into the ICU during follow-up is 2.7 % , which is lower",
128,32360481,severe,"No evidence exists that smoking protects COVID-19 patients from developing to severe/critical cases , and the absolute number of lymphocytes at initial diagnosis could not predict the progression risk from",
129,32361409,severe,of the disease or are asymptomatic ; ( 2 ) why delayed and weak antibody responses are associated with severe outcomes ; and ( 3 ) why positivity in molecular,
130,32364961,severe,ACE-I or ARBs might favour severe disease progression but it is recommended against ACE-I or sartans discontinuation .,
131,32365221,severe,"IL-2R/lymphocytes were superior compared with other markers for the identification of COVID-19 with critical illness , not only from mild but also from severe illness .",
132,32365944,severe,"In the wild type mice , SARS-CoV SUD-MC triggered the pulmonary infiltration of macrophages and monocytes , inducing CXCL10-mediated inflammatory responses and severe diffuse alveolar damage symptoms .",
133,32367765,severe,This study aimed to describe the parameters of coagulation function of patients with COVID-19 and reveal the risk factors of developing severe disease .,
134,32369208,severe,26 patients ( 47.3 % ) were still hospitalized while 29 ( 52.7 % ) had been discharged at this point .,
135,32369208,severe,"Older age , more comorbidities , and more abnormal prominent laboratory markers were associated with severe condition .",
136,32370986,severe,might increase the risk of developing severe or fatal severe acute respiratory syndrome in case of COVID-19 infection .,
137,32373235,severe,"Conclusions : CT quantification of pneumonia lesions can early and non-invasively predict the progression to severe illness , providing a promising prognostic indicator for clinical management of COVID-19 .",
138,32373235,severe,This study aims to quantify pneumonia lesions by computed tomography ( CT ) in the early days to predict progression to severe illness in a cohort of COVID-19 patients .,
139,32373235,severe,") and day 4 , were collected to predict the occurrence of severe illness within a 28-day follow-up using both logistic regression and Cox proportional hazard models .",
140,32373235,severe,"Results : We included 134 patients , of whom 19 ( 14.2 % ) developed any severe illness .",
141,32375200,severe,Here we present a series of five cases of severe pneumomediastinum requiring decompression therapy over a 7-day period in the current COVID-19 outbreak .,
142,32376398,severe,"During the 10-day follow-up , three cases of severe adverse events were recorded : two patients developed septic shock and died , one had gastrointestinal perforation requiring urgent surgery and",
143,32376581,severe,31 severe cases .,
144,32377709,severe,Novel data report more severe symptoms and even a negative prognosis for the obese patients .,
145,32378844,severe,A total of nine patients ( 21 % ) had a critical course of illness with treatment in the Intensive Care Department and/or death during their stay in hospital .,
146,32378844,severe,"A NEWS2 score of > = 5 on admission may be a useful aid in identifying patients at risk of a critical course of illness , while CRB-65 and qSOFA",
147,32379955,severe,Hydroxychloroquine-treated patients were more severely ill at baseline than those who did not receive hydroxychloroquine ( median ratio of partial pressure of arterial oxygen to the fraction of inspired oxygen,
148,32380565,severe,There is considerable variability in the incidence of infection and severe disease following exposure to SARS-CoV-2 .,
149,32380908,severe,"In total , 17 of 24 ( 71 % ) patients recovered , 3 of 24 ( 13 % ) patients remained critically ill though stable , and 4 of",
150,32382748,severe,"Our review summarizes the current knowledge of pediatric clinical disease , role in transmission , risks for severe disease , protective immunity , as well as novel therapies and vaccine",
151,32383125,severe,"The primary PET trial outcome will be an ordinal scale of disease severity ( not hospitalized , hospitalized without intensive care , hospitalization with intensive care , or death )",
152,32383125,severe,"The primary PET trial outcome will be an ordinal scale of disease severity ( not hospitalized , hospitalized without intensive care , hospitalization with intensive care , or death )",
153,32383183,severe,The previous study reported a higher severe status rate and mortality rate in male patients in China .,
154,32383371,severe,prevent its severe course and complications .,
155,32384078,severe,23 ( 11.4 % ) patients had severe illness .,
156,32384078,severe,"In this case series in Jiangsu Province , COVID-19 patients had less severe symptoms and had better outcomes than the initial COVID-19 patients in Wuhan .",
157,32384078,severe,"This study aimed to describe the clinical characteristics of COVID-19 and identify the risk factors for severe illness of COVID-19 in Jiangsu province , China .",
158,32384078,severe,"In this case series in Jiangsu Province , COVID-19 patients had less severe symptoms and had better outcomes than the initial COVID-19 patients in Wuhan .",
159,32384078,severe,Clinical findings of COVID-19 patients were described and risk factors for severe illness of COVID-19 were analyzed .,
160,32386440,severe,laboratory confirmed pregnancies with COVID-19 has reported the possibility of increased risk of severe disease among pregnant women.6,
161,32387238,severe,"Covid-19 is characterized by weak symptoms in most affected patients whilst severe clinical complications , with frequent fatal issues , occur in others .",
162,32387320,severe,"presented with more severe forms ( higher level of oxygen therapy at 13 L/min vs 6 L/min , P < 0.001 ) , and had poorer biological findings ( severe",
163,32387409,severe,Five patients are still hospitalized ( 98.7 % of patients cured so far ) .,
164,32387456,severe,"Overall , males developed more severe complications , were more frequently hospitalized , and had a worse clinical outcome than females .",
165,32387456,severe,"Overall , males developed more severe complications , were more frequently hospitalized , and had a worse clinical outcome than females .",
166,32387756,severe,the development of a severe lung injury .,
167,32387756,severe,Children and younger people are almost protected from severe clinical presentation .,
168,32391184,severe,"Such experimental work is supplemented by computational studies , including the prereaction state analysis , the ab initio calculation of the critical catalytic step , and the molecular dynamic simulation",
169,32391519,severe,"The median duration of hospital stay was 6 days ( 6 days for severe , 10.5 days for critical , p=0.01 ) .",
170,32391519,severe,6 severe versus 12 critical ) .,
171,32391519,severe,6 severe versus 12 critical ) .,
172,32391519,severe,"Severe infection was defined according to published criteria by patient reported dyspnea , respiratory rate > 30 per minute , blood oxygen saturation < = 93 % on room air",
173,32391519,severe,"Critical disease was defined by respiratory failure , septic shock , and/or multiple organ dysfunction or failure .",
174,32391667,severe,RESULTS : One patient in HCQ group developed to severe during the treatment .,
175,32392262,severe,The calculated RR showed that current smokers were 1.45 times more likely [ 95 % CI : 1.03-2.04 ] to have severe complications compared to former and never smokers .,
176,32392288,severe,"At the completion of the follow-up period , 2 patients ( 4 % ) had died and 15 ( 31 % ) were still hospitalized , with 3 still requiring",
177,32392288,severe,Conclusions and Relevance : This early report describes the burden of COVID-19 infection in North American PICUs and confirms that severe illness in children is significant but far less frequent,
178,32396163,severe,"Main Outcomes and Measures : Among patients with COVID-19 admitted to the hospital , critical illness was defined as the composite measure of admission to the intensive care unit ,",
179,32396163,severe,Objective : To develop and validate a clinical score at hospital admission for predicting which patients with COVID-19 will develop critical illness based on a nationwide cohort in China .,
180,32396239,severe,"severe infection ( P < .001 ; odds ratio [ OR ] = 11.411 ; 95 % confidence interval [ CI ] , 2.95-42.09 ) and critical infection ( P",
181,32396239,severe,"severe infection ( P < .001 ; odds ratio [ OR ] = 11.411 ; 95 % confidence interval [ CI ] , 2.95-42.09 ) and critical infection ( P",
182,32399655,severe,"In this series of six critically ill COVID-19 patients , intravenous infusion of CAP-1002 was well tolerated and associated with resolution of critical illness in 4 patients .",
183,32402056,severe,"Among 22 patients ( 79 % ) who were admitted , 11 ( 50 % ) were discharged home , 4 ( 18 % ) remain hospitalized at the end",
184,32405245,severe,The patients with COVID-19 transferred to local hospitals during the outbreak had severe conditions and needed close monitoring .,
185,32406594,severe,"The proportions of critical patients in groups 2 and 3 were significantly higher compared to group 1 ( 38.1 % , 32.8 % vs. 9.5 % , P < 0.05",
186,32406927,severe,Another study ( 3 participants ) reported a case of severe anaphylactic shock .,
187,32406927,severe,Four studies reported the absence of moderate or severe adverse events ( 19 participants ) .,
188,32406927,severe,We are very uncertain whether or not convalescent plasma therapy affects the risk of moderate to severe adverse events ( very low-certainty evidence ) .,
189,32406927,severe,"As described above , this individual had severe anaphylactic shock after receiving convalescent plasma .",
190,32407411,severe,"Among the infected Chinese healthcare workers whose symptoms onset appeared during the same ten-day period , the percentage of those in severe conditions decreased significantly from 19.7 % ( Jan",
191,32407719,severe,Severe sepsis and septic shock syndromes were observed in 7 ( 53.8 % ) PICU patients .,
192,32407719,severe,"Of the 13 patients in the PICU , 8 ( 61.5 % ) were discharged home , and 4 ( 30.7 % ) patients remain hospitalized on ventilatory support at",
193,32407719,severe,We describe a higher than previously recognized rate of severe disease requiring PICU admission in pediatric patients admitted to the hospital with COVID-19 .,
194,32407959,severe,"At day 28 , 14 ( 82.3 % ) patients from IDW were discharged , two were still hospitalized and one died ( 5.9 % ) , whereas in ICU",
195,32407959,severe,) was improved but still hospitalized .,
196,32407959,severe,"Hypertransaminasemia and acute kidney injury were the most frequent severe adverse events observed ( 42.8 % and 22.8 % of the cases , respectively ) .",
197,32408118,severe,Patients of COVID-19 who have diabetes have more than two-fold higher risk of developing severe disease .,
198,32409502,severe,"P = 0.05 ) , while those who were obese were at 3.40-fold odds of developing severe disease ( OR 3.40 , 95 % CI 1.40-2.86 , P = 0.007",
199,32410266,severe,", we speculate that ADE can be circumvented and severe symptoms can be prevented .",
200,32410714,severe,Critically ill patients with COVID-19 are associated with a higher risk of severe complications and need to receive an intensive level of treatments .,
201,32410760,severe,The SARS-CoV-2 epidemic was associated with high incidence of a severe form of Kawasaki disease .,
202,32412159,severe,"After a median of 33 days of follow-up , 16 patients were discharged , 3 were still hospitalized and 2 patients died .",
203,32413736,severe,"Also , the pro-inflammatory cytokine IL6 is the best-documented cytokine in COVID-19 correlated with severity , criticality , viral load , and prognosis of patients with COVID-19 .",
204,32413736,severe,"IL6 correlates with severity , criticality , viral load , and prognosis of COVID-19 .",
205,32416116,severe,"Among patients with AKI , 694 died ( 35 % ) , 519 ( 26 % ) were discharged and 780 ( 39 % ) were still hospitalized .",
206,32418728,severe,"severe bacterial complication , in particular in the case of lung infections .",
207,32418728,severe,"First , the clinical observations of the French Pharmacovigilance Network showed that severe bacterial infections can occur even after a short NSAID treatment , and even if the NSAID is",
208,32418728,severe,"Therefore , in case of infection , symptomatic treatment with NSAIDs for non-severe symptoms ( fever , pain , or myalgia ) is not to be recommended , given a",
209,32419926,severe,"The performed in silico analysis indicates that the newly emerging SARS-CoV-2 is closely related to severe acute respiratory syndrome ( SARS ) -CoV and , to a lesser degree ,",
210,32420609,severe,for severe disease and death .,
211,32421703,severe,This model can be used to help predict severe COVID-19 and identify patients at risk of developing severe disease .,
212,32422076,severe,To evaluate the pathologic changes of organ systems and the clinicopathologic basis for severe and fatal outcomes .,
213,32423449,severe,Older patients or those with medical comorbidities are at greater risk for severe disease .,
214,32425234,severe,"Thirty-seven patients ( 7 % ) had severe COVID-19 , 161 ( 31 % ) were hospitalized , and 16 patients died ( 3 % case fatality rate ) .",
215,32425307,severe,The resultant cytokine storm is responsible for the severe lung injury leading to acute respiratory distress syndrome seen in COVID 19 patients .,
216,32425361,severe,"However , both groups did not differ in the rate of conversion to severe cases or viral assay findings ( both p > 0.05 ) .",
217,32425649,severe,23.5 % of severe cases and 24.4 % of critical cases were co-infected with other respiratory pathogens .,
218,32425649,severe,23.5 % of severe cases and 24.4 % of critical cases were co-infected with other respiratory pathogens .,
219,32426001,severe,Their close contacts had mild to severe symptoms and three of them died .,
220,32426957,severe,"This review focuses on the aspects of COVID-19 pertaining to rheumatology , including signs and symptoms akin to those observed in rheumatic disorders , risk of infection or severe course",
221,32427403,severe,"No severe postoperative complications occurred , and no health care workers associated with the tracheostomy are confirmed to be infected by SARS-CoV-2 .",
222,32427582,severe,Severe pulmonary damage was predominantly attributed to both cytopathy caused by SARS-CoV-2 and immunopathologic damage .,
223,32430433,severe,"The proportion of patients with COVID-19 with non-severe illness was 84.3 % on admission , and severe cases accounted for 15.7 % [ 2 ] .",
224,32430456,severe,"In a risk-adjusted Cox regression analysis , both patients with hyperglycemia and patients with diabetes had a higher risk of severe disease than those without diabetes and with normoglycemia .",
225,32430456,severe,Cox regression analysis evidenced that patients with hyperglycemia treated with insulin infusion had a lower risk of severe disease than patients without insulin infusion .,
226,32430456,severe,"The composite end point was severe disease , admission to an intensive care unit , use of mechanical ventilation , or death .",
227,32430957,severe,"The rate of severe pneumonia reported amongst the case series ranged from 0 to 14 % , with the majority of the cases requiring admission to the intensive care unit",
228,32433217,severe,COVID-19 ) and other critical diseases associated with COVID-19 .,
229,32433453,severe,OBJECTIVE : To investigate the clinical evolution of coronavirus disease 2019 ( COVID-19 ) in hospitalized pregnant women and potential factors associated with severe maternal outcomes .,
230,32433453,severe,Increased pregestational BMI and abnormal heart and respiratory rates on admission were associated with severe disease .,
231,32434518,severe,"In addition , the incidence of critical illness was 9.1 % ( 1/11 ) for patients aged > = 50 and having an NLR < 3.13 , and 50 %",
232,32434518,severe,A nomogram based on non-specific laboratory indicators was built to predict the probability of critical illness .,
233,32434518,severe,The neutrophil-to-lymphocyte ratio ( NLR ) was identified as an independent risk factor for critical illness in patients with COVID-19 infection .,
234,32434788,severe,mortality of severe cases .,
235,32434789,severe,We report the first case of a patient with melanoma with severe and reversible diffuse pneumonitis in association with coronavirus HKU1 following combined nivolumab and ipilimumab immunotherapy .,
236,32435065,severe,"In about 20 % of patients , severe symptoms occur after a mean incubation period of 5-6 days ; 5 % of patients need intensive care therapy .",
237,32435272,severe,"Cancer comorbidity seems to have no direct relationship with severe events , and the combination of traditional Chinese medicine and western medicine may be effective in the prevention and treatment",
238,32437017,severe,Patients with comorbidities are more likely to develop severe illness .,
239,32437017,severe,"Three patients with comorbidities such as hypertension , liver diseases or diabetes developed severe illness .",
240,32437696,severe,"Of the patients who were discharged from the cabin hospital , 362 ( 86.0 % ) were categorized as recovered ; 14.0 % developed severe symptoms and were transferred to",
241,32437770,severe,"Among the 36 patients , 18 had worsening of their clinical status , as defined by severe hypoxia with oxygen therapy requirements greater than 4 L/min and radiological worsening .",
242,32437935,severe,"Non-survivors tend to develop more severe lymphopenia , with higher C-reactive protein , interleukin-6 , D-dimer , and hs-Troponin I ( hs-TnI ) levels .",
243,32441332,severe,High CRP and D-dimer levels were the parameters most frequently associated with severe pneumonia .,
244,32441332,severe,"However , one-third of them developed pneumonia , of whom 5 % presented a critical clinical status .",
245,32441666,severe,Fifteen ( 20.8 % ) patients were defined as severe cases and 57 ( 79.2 % ) were non-severe cases .,
246,32441666,severe,Fifteen ( 20.8 % ) patients were defined as severe cases and 57 ( 79.2 % ) were non-severe cases .,
247,32444366,severe,"The strongest risks for critical illness besides age were associated with heart failure ( 1.9 , 1.4 to 2.5 ) , BMI > 40 ( 1.5 , 1.0 to 2.2",
248,32444366,severe,Risk of critical illness decreased significantly over the study period .,
249,32444366,severe,"Age and comorbidities were found to be strong predictors of hospital admission and to a lesser extent of critical illness and mortality in people with covid-19 ; however , impairment",
250,32444366,severe,of oxygen on admission and markers of inflammation were most strongly associated with critical illness and mortality .,
251,32444366,severe,"Outcomes were admission to hospital , critical illness ( intensive care , mechanical ventilation , discharge to hospice care , or death ) , and discharge to hospice care or",
252,32444412,severe,show severe symptoms .,
253,32444693,severe,severe acute respiratory syndrome coronavirus 2 ( SARS-CoV-2 ) or with an increased risk of severe disease or in-hospital death among patients with COVID-19 .,
254,32444880,severe,Severe disease occurred in 49 % .,
255,32444880,severe,We observed high rates of severe disease and mortality in our hospitalized patients .,
256,32445489,severe,Liver dysfunction was associated with a severe outcome of COVID-19 disease .,
257,32445579,severe,"CRP was also an independent discriminator of severe/critical illness on admission ( AUC 0.783 , z=10.69 , p < 0.001 ) .",
258,32446167,severe,"As of February 29 , 75 children had been discharged , of which only one was has severe pneumonia and one was critical cases .",
259,32446167,severe,"As of February 29 , 75 children had been discharged , of which only one was has severe pneumonia and one was critical cases .",
260,32446795,severe,"COVID-19 patients with diabetes were more likely to develop severe or critical disease conditions with more complications , and had higher incidence rates of antibiotic therapy , non-invasive and invasive",
261,32447101,severe,"While previous diabetic microvascular ( renal ) and macrovascular complications also increase risk of death , the quality of past glucose control had no independent influence on hospitalized diabetes patient",
262,32447102,severe,"Intriguingly , in a risk-adjusted Cox regression analysis , TCZ in hyperglycaemic patients failed to attenuate risk of severe outcomes as it did in normoglycaemic patients ( P < 0.009",
263,32450906,severe,"Further , sex-disaggregated data for COVID-19 in several European countries show a similar number of cases between the sexes , but more severe outcomes in aged men .",
264,32451563,severe,"Dyspnoea was the only symptom predictive for severe disease ( pOR 3.70 , 95 % CI 1.83-7.46 ) and ICU admission ( pOR 6.55 , 95 % CI 4.28-10.0 )",
265,32451563,severe,"COPD was the strongest predictive comorbidity for severe disease ( pOR 6.42 , 95 % CI 2.44-16.9 ) and ICU admission ( pOR 17.8 , 95 % CI 6.56-48.2 )",
266,32451563,severe,Elderly patients with comorbidities are more vulnerable to severe disease .,
267,32452644,severe,access to critical care unit and higher mortality rate .,
268,32454138,severe,Adopting simple lifestyle changes could lower the risk of severe infection .,
269,32456948,severe,The COVID-19 patients with CVD experienced more severe pneumonia .,
270,32456948,severe,"COVID-19 patients with CVD showed ( 1 ) more severe pathological changes in the lungs , ( 2 ) elevated injury-related enzymes including alpha-hydroxybutyrate dehydrogenase ( HDBH ) , lactic",
271,32459123,severe,"In this review we collate current clinical and immunologic reports , comparing these to reports of previous coronaviruses to identify mechanisms driving progression to severe disease in some patients .",
272,32459529,severe,"Evidence was conflicting and insufficient regarding the effect of hydroxychloroquine on such outcomes as all-cause mortality , progression to severe disease , clinical symptoms , and upper respiratory virologic clearance",
273,32460144,severe,Elevated levels of IL-6 and IL-10 predict severe course of the disorder .,
274,32463348,severe,A total of 12 % of patients reached critical QTc prolongation .,
275,32463348,severe,"Overall , 12 % of patients manifested critical QTc prolongation , and the combination caused greater prolongation than either drug alone .",
276,32463545,severe,Older age and comorbidities are associated to more severe disease .,
277,32466735,severe,Patients with COVID-19 with a history of stroke had more severe clinical symptoms and poorer outcomes compared with those without a history of stroke .,
278,32467561,severe,management of the severe cases and for preventing the transition from mild to severe stages .,
279,32469504,severe,Appropriate interventions can be implemented to prevent severe outcomes of neurological invasion by SARS-CoV-2 to reduce the morbidity and mortality of patients with COVID-19 .,
280,32470186,severe,"In addition , higher C-reactive protein was associated with shorter time to progress to severe cases ( r = -0.62 ) .",
281,32470186,severe,Several easily obtained variables at admission are associated with progression to severe cases during hospitalization .,
282,32470186,severe,"Pulmonary inflammation index , platelet counts , sodium , C-reactive protein , prealbumin , and PaCO2 showed good distinguishing power to predict progression to severe cases .",
283,32470186,severe,"Pulmonary inflammation index , platelet counts , sodium , C-reactive protein , prealbumin , and PaCO2 showed good distinguishing power to predict progression to severe cases .",
284,32470186,severe,"Potassium , creatinine , temperature , and D-dimer showed mild distinguishing power to predict progression to severe cases .",
285,32470186,severe,"At admission , we collected the demographics and laboratory tests to predict whether the patient would progress to severe cases in hospitalization .",
286,32470186,severe,"Of them , 20 ( 5.7 % ) patients progressed to severe cases after median 4.0 days ( interquartile range : 2.3-6.0 ) .",
287,32470186,severe,"Pulmonary inflammation index , platelet counts , sodium , C-reactive protein , prealbumin , and PaCO2 showed good distinguishing power to predict progression to severe cases ( each area under",
288,32470210,severe,Obese patients had an increased risk of critical illness leading to ICU admission or death compared to normal weight individuals .,
289,32470210,severe,"This study confirms that obesity is a major risk factor for COVID-19 disease severity , significantly impacting disease presentation and critical care requirements .",
290,32472676,severe,"In multivariable logistic regression analysis , risk factors for severe infection included pre-existing renal disease ( odds ratio [ OR ] , 7.4 ; 95 % CI 2.5-22.0 ) ,",
291,32472676,severe,Every 1 unit increase in CRP increased the risk of severe disease by 0.06 % .,
292,32472676,severe,Patients aged above 60 were significantly more likely to have severe infection .,
293,32473607,severe,"Among patients who tested positive , 45 % had mild , 21 % moderate , and 6.4 % severe liver injury .",
