,pmid,text,sentence,subtag,Primary population,Age,Location,Gender,Condition/characteristic,Objective,M.V.,Results relevant to this particular O-tag
10,32409504,in-hospital mortality,We aimed to describe the characteristics and outcomes and to analyze the risk factors for in-hospital mortality of COVID-19 patients with diabetes .,None,153 Confirmed COVID-19 patients with diabetes,median age of 64.0,China,,Diabetes ,outcomes and to analyze the risk factors for in-hospital mortality of COVID-19 patients with diabetes,,Diabetes was not statistically significantly associated with in-hospital. Older age and comorbid hypertension independently contributed to in-hospital death of patients with diabetes
11,32422233,in-hospital mortality,"In this cohort of hospitalized patients with COVID-19 in a minority-predominant population , severe obesity , increasing age , and male sex were independently associated with higher in-hospital mortality and",None,200 patients,median age  64,New York,female 102,obesity ,investigate whether obesity is associated with worse outcomes,in-hospital mortality,"severe obesity, increasing age, and male sex were independently associated with higher in-hospital mortality and in general worse in-hospital outcomes"
12,32422233,in-hospital mortality,"Severe obesity , male sex , and increasing age were found to be independently associated with higher in-hospital mortality .",None,,,,,,,,
13,32422233,in-hospital mortality,The primary endpoint was in-hospital mortality .,None,,,,,,,,
14,32436994,in-hospital mortality,Primary endpoint was in-hospital mortality .,None,,,,,,,,
15,32437939,in-hospital mortality,"In the multivariable logistic regression model , only Brixia score , patient age , and conditions that induced immunosuppression were the significant predictive factors for in-hospital mortality .",None,302 Caucasian patients hospitalized for COVID-19,,Italy,,,assess the usefulness of a new chest X-ray scoring system - the Brixia score - to predict the risk of in-hospital mortality in covid19 patients,,Patients with a high Brixia score and at least one other predictive factor had the highest risk of in-hospital death
16,32437939,in-hospital mortality,These independent variables were analyzed using a multivariable logistic regression model to extract the predictive factors for in-hospital mortality .,None,,,,,,,,
17,32444493,in-hospital mortality,"CONCLUSIONS : Patients with COVID-19 admitted with neurologic disease , including stroke , have a significantly higher in-hospital mortality and incident delirium and higher disability than patients without COVID-19 .",None,"173 patients, 56 were positive and 117 were negative",COVID-19  77.0 years,Italy,,neurologic diseases,clinical outcomes of patients admitted for neurologic diseases with and without COVID-19,,"Patients with COVID-19 admitted with neurologic disease, including stroke, have a significantly higher in-hospital mortality and incident delirium and higher disability than patients without COVID-19."
18,32446312,in-hospital mortality,"However , in-hospital mortality was significantly lower in the metformin group ( 3/104 ( 2.9 % ) versus 22/179 ( 12.3 % ) , P = 0.01 ) .",None,283 patients (104 w/ metformin and 179 w/o no-metformin),,China,,diabetes,outcome of metformin users and nonusers in hospitalized COVID-19 patients with diabetes,,in-hospital mortality was significantly lower in the metformin group
19,32450107,in-hospital mortality,The main outcomes of interest were in-hospital mortality and the occurrence of de-novo ventricular arrhythmias ( non-sustained or sustained ventricular tachycardia or ventricular fibrillation ) .,None,"96 032 patients (14 888 patients with treatment, 81 144 patients  control)",mean age 53.8 years,, 46.3% women,,,,
20,32458459,in-hospital mortality,These results suggest that the NLR at hospital admission is associated with in-hospital mortality among patients with COVID-19 .,None,1004 patients,nonsurvivors (68 years) / survivors (62 years),,male nonsurvival group (27; 67.5%) / male survival group (466; 48.3%),,neutrophil to lymphocyte ratio (NLR) is a prognostic factor in patients with covid19,,NLR at hospital admission is associated with in-hospital mortality
21,32459916,in-hospital mortality,"In adjusted time-to-event analyses , variables that were associated with higher in-hospital mortality were increasing age and presentation with an elevated respiratory rate ; elevated levels of venous lactate ,",None,3481 Covid-19-positive patients,,Louisiana ,60.0% were female,,racial and ethnic differences in outcomes from Covid-19,,Black race was not associated with higher in-hospital mortality than white race
22,32459916,in-hospital mortality,"Black race was not associated with higher in-hospital mortality than white race , after adjustment for differences in sociodemographic and clinical characteristics on admission .",None,,,,,,,,
23,32469464,in-hospital mortality,"The major outcomes included in-hospital mortality , intensive care unit ( ICU ) admission , and invasive mechanical ventilation ( IMV ) .",None,453 patients,,China,,newly diagnosed diabetes,degrees of hyperglycaemia and the risk of all-cause mortality among hospitalized patients with COVID-19,"in-hospital mortality, intensive care unit (ICU) admission and invasive mechanical ventilation (IMV)","COVID-19 patients with newly diagnosed diabetes had the highest risk of all-cause mortality compared with COVID-19 patients with known diabetes, hyperglycaemia and normal glucose"
24,32474087,in-hospital mortality,", as disease clinical presentation , or in-hospital mortality .",None,192 consecutive patients,,Italy,,,describe the prevalence of pre-admission antithrombotic therapies in patients with COVID-19,,"no difference in the risk of ARDS at admission, or death during hospitalization, between patients treated or not with antiplatelets or anticoagulants"
25,32484975,in-hospital mortality,"In this study , a meta-analysis was performed to clarify the association between myocardial injury assessed by hs-cTn levels and in-hospital mortality in patients with COVID-19 .",None,,,,,,,,
26,32484975,in-hospital mortality,"Elevated hs-cTn levels were significantly associated with an increase in in-hospital mortality ( pooled odds ratio , 22.7 ; 95 % confidence interval , 13.6-38.1 ; P < 0.001 )",None,,,,,,,,
27,32498135,in-hospital mortality,Advanced age and an increasing number of comorbidities are independent predictors of in-hospital mortality for COVID-19 patients .,None,1305 patients,Mean age was 61.0,Michigan,53.8% were male,hypertension (56.2%) and diabetes mellitus (30.1%),evaluated mortality predictors of COVID-19 in a large cohort of hospitalized patients in the United States,mortality,Advanced age and an increasing number of comorbidities are independent predictors of in-hospital mortality for COVID-19 patients
28,32500700,in-hospital mortality,"By multivariable analysis , in-hospital mortality was higher in those with oxygen saturation below 88 % on admission and a higher number of lung lobes involved with a diffuse parenchymal",None,polymerase chain reaction-confirmed COVID19 (n = 63) ,,Iran,,,explore risk factors for mortality and ICU admission in patients with COVID19,,"inhospital mortality was higher in patients with lower oxygen saturation on admission (below 88%), higher CT scores"
29,32500700,in-hospital mortality,"RESULTS : By univariable analysis , in-hospital mortality was higher in patients with lower oxygen saturation on admission ( below 88 % ) , higher CT scores , and a",None,,,,,,,,
